City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
314,Sakaiminato,35.55,133.2333,64.38,88,75,18.41,JP,light intensity shower rain
315,Camacha,33.0833,-16.3333,65.62,83,20,5.75,PT,few clouds
316,Maraba,-5.3686,-49.1178,84.38,70,0,4.61,BR,clear sky
317,Ambunti,-4.2365,142.8448,90.14,58,100,1.81,PG,overcast clouds
318,Leningradskiy,69.3833,178.4167,23.65,84,38,3.71,RU,scattered clouds
319,Hasaki,35.7333,140.8333,73.8,78,100,24.63,JP,overcast clouds
320,Aykhal,66.0,111.5,26.89,92,100,18.48,RU,overcast clouds
321,Sheridan,44.8333,-106.9173,62.02,61,0,5.39,US,clear sky
322,Karratha,-20.7377,116.8463,77.13,30,0,3.53,AU,clear sky
323,Astorga,-23.2325,-51.6656,71.83,77,0,5.19,BR,clear sky
324,Samana,19.2056,-69.3369,79.72,86,99,6.71,DO,overcast clouds
325,Kudahuvadhoo,2.6708,72.8944,81.61,76,100,16.58,MV,overcast clouds
326,Gornyak,50.9942,81.4661,30.97,64,32,3.89,RU,scattered clouds
327,Diamantino,-14.4086,-56.4461,79.65,59,34,4.16,BR,scattered clouds
328,Sorland,67.667,12.6934,49.86,92,100,24.54,NO,light rain
329,Cabedelo,-6.9811,-34.8339,75.87,80,28,9.24,BR,scattered clouds
330,Tarakan,3.3,117.6333,80.1,89,75,5.75,ID,light rain
331,Batemans Bay,-35.7167,150.1833,58.1,82,100,11.63,AU,moderate rain
332,Adrar,20.5022,-10.0711,91.35,17,75,9.95,MR,broken clouds
333,Mayya,61.7333,130.2811,27.72,64,100,10.92,RU,overcast clouds
334,Port Hardy,50.6996,-127.4199,59.0,88,75,8.05,CA,broken clouds
335,Santa Maria Del Oro,25.9333,-105.3667,64.92,60,93,6.26,MX,overcast clouds
336,Margate,51.3813,1.3862,62.91,82,100,5.99,GB,overcast clouds
337,Yeppoon,-23.1333,150.7333,76.78,58,91,12.41,AU,overcast clouds
338,Ust-Kuyga,70.0167,135.6,22.68,87,98,4.97,RU,overcast clouds
339,Fairbanks,64.8378,-147.7164,57.2,43,75,10.36,US,broken clouds
340,Avera,33.194,-82.5271,63.91,58,0,5.61,US,clear sky
341,Melfi,40.9965,15.6514,53.38,65,0,2.06,IT,clear sky
342,Sao Joao Da Barra,-21.6403,-41.0511,71.69,95,100,9.08,BR,moderate rain
343,Djibo,14.1022,-1.6306,87.24,49,7,8.19,BF,clear sky
344,Olafsvik,64.8945,-23.7142,39.97,92,100,36.37,IS,overcast clouds
